id_onada,onada,vpdef,dia_Enquesta,mes_enquesta,provincia,p46,zones específiques,sexe,edat_m,edat_rec,fills,sit_lab,dies_sortida,dies_sortida_m,p25_1Treballar,p25_2comprar,p25_3gos,p25_4tabac,p25_5premsa,p25_6cura_persones,p25_7metge,p25_8compra_familiar,p25_9alimentar,p25_11passejarfills,p25_97altres,p25_99nc,p23_1_nerviós,p23_2_irritat,p23_3_alegre,p23_4_melancolic,p23_5_tens,p23_6_optimista,p23_7_desanimat,p23_8_enutjat,p23_9_ansios,p23_10_apagat,p23_11_molest,p23_12_animat,p23_13_intranquil,p23_14_enfadat,p23_15_content,p23_16_trist,E1,E2,E3,E4,p31_1,p31_2,p31_3,p31_4,p32_1,p32_2,p32_3,p32_4,dies_m,dies_rec
10003,1,0.102150472937233,24,3,Tarragona,Municipi de més de 100.000 habitants,Resta,Dona,38,31-45 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,3,3,5,6,0,4,2,0,0,5,2,6,8,2,6,1,3.5,2.75,1.75,5.25,Bastant,Molt,Poc,Molt,Molt,Molt,Bastant,Molt,60,46-60 dies
10004,1,0.239348014593767,20,3,Tarragona,Municipi d’entre 5.001 i 10.000 habitants,Resta,Home,33,31-45 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,3,1,6,1,2,5,1,5,1,2,7,3,5,6,3,2,1.5,2.75,4.75,4.25,Bastant,Bastant,Bastant,Bastant,Poc,Bastant,Bastant,Poc,60,46-60 dies
10005,1,3.71996387449299,20,3,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,53,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,6,6,2,7,7,3,3,7,4,4,4,4,7,7,4,7,5.25,6,6,3.25,Molt,Molt,Molt,Molt,Molt,Molt,Molt,Poc,60,46-60 dies
10006,1,1.20253757715697,20,3,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,47,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,3,2,5,2,3,5,2,2,2,2,2,5,2,2,5,4,2.5,2.5,2,5,Gens,Bastant,Poc,Poc,Poc,Poc,Poc,Bastant,60,46-60 dies
10007,1,1.20253757715697,20,3,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,47,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,7,0,7,5,3,8,0,4,0,0,2,8,6,4,2,6,2.75,4,2.5,6.25,Bastant,Molt,Bastant,Bastant,Bastant,Bastant,Bastant,Bastant,56,46-60 dies
10009,1,2.66886590044273,20,3,Barcelona,Municipi d’entre 5.001 i 10.000 habitants,Resta,Home,60,46-65 anys,No,Jubilat/da o pensionista,,,,,,,,,,,,,,,1,0,4,0,1,0,0,0,0,0,3,7,0,0,5,0,0,0.5,0.75,4,Poc,Poc,Poc,Bastant,Gens,Gens,Gens,Bastant,60,46-60 dies
10011,1,0.833219769504746,22,3,Lleida,Municipi de menys de 1.000 habitants,Resta,Dona,35,31-45 anys,Sí,Autònom/a,,,,,,,,,,,,,,,3,0,5,0,6,7,4,7,0,3,7,7,3,6,6,3,2.5,3,5,6.25,Bastant,Bastant,Bastant,Bastant,Poc,Poc,Poc,Poc,28,Fins 30 dies
10013,1,0.102150472937233,20,3,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,38,31-45 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,7,5,5,6,2,6,7,5,5,7,5,5,8,5,5,6,6.5,5.5,5,5.25,Poc,Poc,Poc,Bastant,Bastant,Molt,Poc,Molt,28,Fins 30 dies
10015,1,0.239348014593767,20,3,Tarragona,Municipi de més de 100.000 habitants,Resta,Home,26,16-30 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,5,6,2,2,7,4,7,8,7,6,6,4,7,,3,4,4.75,6.5,6.66666666666667,3.25,Poc,Molt,Bastant,Poc,Bastant,Bastant,Bastant,Gens,60,46-60 dies
10016,1,0.620013504972706,20,3,Lleida,Municipi d’entre 10.001 i 100.000 habitants,Resta,Home,43,31-45 anys,No,Autònom/a,,,,,,,,,,,,,,,3,1,4,3,5,5,5,1,2,7,2,5,5,2,4,4,4.75,3.75,1.5,4.5,Poc,Molt,Bastant,Poc,Bastant,Bastant,Poc,Bastant,90,Més de 60 dies
10017,1,0.172564483369269,20,3,Tarragona,Municipi de més de 100.000 habitants,Resta,Home,46,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,1,5,5,5,10,10,1,7,0,0,2,8,5,4,5,2,2,4,4.5,7,Gens,Molt,Bastant,Bastant,Gens,Gens,Gens,Gens,180,Més de 60 dies
10018,1,0.239348014593767,24,3,Tarragona,Municipi d’entre 5.001 i 10.000 habitants,Resta,Home,31,31-45 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,3,5,6,1,2,7,4,2,,5,2,5,2,2,6,0,2.5,2.33333333333333,2.75,6,Poc,Molt,Bastant,Bastant,Bastant,Bastant,Bastant,Molt,60,46-60 dies
10019,1,1.20253757715697,20,3,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,44,31-45 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,7,6,4,9,8,4,8,7,8,8,8,4,7,8,4,8,8.25,7.5,7.25,4,Molt,Molt,Molt,Bastant,Molt,Poc,Bastant,Molt,60,46-60 dies
10020,1,1.20253757715697,20,3,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,47,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,9,6,3,10,9,4,8,4,9,5,7,5,9,5,4,8,7.75,9,5.5,4,Poc,Bastant,Bastant,Bastant,Molt,Molt,Molt,Bastant,30,Fins 30 dies
10021,1,1.20253757715697,20,3,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,47,46-65 anys,Sí,Funcionari/ària,,,,,,,,,,,,,,,5,0,5,2,5,2,2,0,5,3,0,2,5,0,2,2,2.25,5,0,2.75,Bastant,Bastant,Bastant,Molt,Molt,Molt,Molt,Molt,60,46-60 dies
10022,1,0.172564483369269,20,3,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Home,40,31-45 anys,Sí,Tasques domèstiques no remunerades,,,,,,,,,,,,,,,5,4,4,5,7,5,6,7,7,7,7,4,4,5,4,4,5.5,5.75,5.75,4.25,Bastant,Bastant,Bastant,Molt,Bastant,Bastant,Bastant,Bastant,49,46-60 dies
10023,1,0.833219769504746,20,3,Lleida,Municipi de menys de 1.000 habitants,Resta,Dona,35,31-45 anys,No,Funcionari/ària,,,,,,,,,,,,,,,9,5,0,8,8,1,9,8,10,9,8,0,10,8,0,9,8.75,9.25,7.25,0.25,Bastant,Molt,Bastant,Bastant,Bastant,Molt,Bastant,Bastant,60,46-60 dies
10024,1,0.226708852276216,20,3,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Home,61,46-65 anys,No,Jubilat/da o pensionista,,,,,,,,,,,,,,,1,2,7,2,2,6,2,2,2,2,2,6,2,2,6,2,2,1.75,2,6.25,Poc,Bastant,Bastant,Bastant,Poc,Bastant,Bastant,Molt,60,46-60 dies
10025,1,0.239348014593767,20,3,Tarragona,Municipi d’entre 1.000 i 5.000 habitants,Resta,Home,31,31-45 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,4,5,3,,6,6,6,2,2,3,5,5,6,2,4,6,5,4.5,3.5,4.5,Poc,Bastant,Poc,Bastant,Bastant,Molt,Poc,Poc,60,46-60 dies
10026,1,3.71996387449299,20,3,Barcelona,Municipi de més de 100.000 habitants,Resta,Dona,52,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,5,5,3,3,7,6,2,2,6,2,6,5,5,1,3,3,2.5,5.75,3.5,4.25,Poc,Bastant,Poc,Bastant,Poc,Bastant,Poc,Molt,45,31-45 dies
10028,1,0.172564483369269,20,3,Tarragona,Municipi de més de 100.000 habitants,Resta,Home,40,31-45 anys,Sí,Autònom/a,,,,,,,,,,,,,,,6,9,3,5,6,2,9,10,6,4,7,2,9,10,0,4,5.5,6.75,9,1.75,Gens,Molt,Poc,Poc,Molt,Poc,Poc,Molt,90,Més de 60 dies
10029,1,0.102150472937233,20,3,Tarragona,Municipi de més de 100.000 habitants,Resta,Dona,46,46-65 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,1,1,7,1,1,1,1,10,1,1,10,10,1,10,1,1,1,1,7.75,4.75,Bastant,Molt,Bastant,Molt,Poc,Poc,Molt,Molt,120,Més de 60 dies
10030,1,1.20253757715697,20,3,Barcelona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,45,31-45 anys,Sí,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,3,2,5,1,1,3,2,10,5,2,8,5,3,10,5,2,1.75,3,7.5,4.5,Poc,Bastant,Poc,Molt,Poc,Poc,Poc,Molt,30,Fins 30 dies
10031,1,1.61357037598005,20,3,Girona,Municipi de més de 100.000 habitants,Resta,Dona,32,31-45 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,1,0,5,4,1,4,5,3,1,5,2,3,3,3,3,2,4,1.5,2,3.75,Bastant,Molt,Bastant,Bastant,Bastant,Bastant,Molt,Molt,60,46-60 dies
10032,1,0.231904850304797,20,3,Tarragona,Municipi d’entre 10.001 i 100.000 habitants,Resta,Dona,27,16-30 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,2,0,7,3,3,7,1,0,1,2,0,7,1,0,7,1,1.75,1.75,0,7,Poc,Molt,Bastant,Molt,Poc,Poc,Bastant,Molt,60,46-60 dies
10033,1,2.66886590044273,20,3,Barcelona,Municipi de més de 100.000 habitants,Resta,Home,64,46-65 anys,No,Treballador/a amb contracte fixe,,,,,,,,,,,,,,,4,0,0,0,3,1,6,0,0,3,1,1,3,0,0,6,3.75,2.5,0.25,0.5,Bastant,Bastant,Bastant,Bastant,Poc,Poc,Poc,Bastant,60,46-60 dies
